Series ID,Year,Period,Label,Value
California State,2013,M01,2013 Jan,9.7
California State,2013,M02,2013 Feb,9.5
California State,2013,M03,2013 Mar,9.4
California State,2013,M04,2013 Apr,9.3
California State,2013,M05,2013 May,9.2
California State,2013,M06,2013 Jun,9.1
California State,2013,M07,2013 Jul,9.0
California State,2013,M08,2013 Aug,8.9
California State,2013,M09,2013 Sep,8.8
California State,2013,M10,2013 Oct,8.6
California State,2013,M11,2013 Nov,8.5
California State,2013,M12,2013 Dec,8.4
California State,2014,M01,2014 Jan,8.2
California State,2014,M02,2014 Feb,8.1
California State,2014,M03,2014 Mar,8.0
California State,2014,M04,2014 Apr,7.8
California State,2014,M05,2014 May,7.7
California State,2014,M06,2014 Jun,7.6
California State,2014,M07,2014 Jul,7.5
California State,2014,M08,2014 Aug,7.4
California State,2014,M09,2014 Sep,7.3
California State,2014,M10,2014 Oct,7.2
California State,2014,M11,2014 Nov,7.1
California State,2014,M12,2014 Dec,6.9
California State,2015,M01,2015 Jan,6.8
California State,2015,M02,2015 Feb,6.7
California State,2015,M03,2015 Mar,6.6
California State,2015,M04,2015 Apr,6.5
California State,2015,M05,2015 May,6.4
California State,2015,M06,2015 Jun,6.3
California State,2015,M07,2015 Jul,6.2
California State,2015,M08,2015 Aug,6.0
California State,2015,M09,2015 Sep,5.9
California State,2015,M10,2015 Oct,5.8
California State,2015,M11,2015 Nov,5.8
California State,2015,M12,2015 Dec,5.7
California State,2016,M01,2016 Jan,5.7
California State,2016,M02,2016 Feb,5.6
California State,2016,M03,2016 Mar,5.6
California State,2016,M04,2016 Apr,5.5
California State,2016,M05,2016 May,5.5
California State,2016,M06,2016 Jun,5.5
California State,2016,M07,2016 Jul,5.5
California State,2016,M08,2016 Aug,5.5
California State,2016,M09,2016 Sep,5.5
California State,2016,M10,2016 Oct,5.5
California State,2016,M11,2016 Nov,5.4
California State,2016,M12,2016 Dec,5.4
California State,2017,M01,2017 Jan,5.2
California State,2017,M02,2017 Feb,5.1
California State,2017,M03,2017 Mar,5.0
California State,2017,M04,2017 Apr,5.0
California State,2017,M05,2017 May,4.9
California State,2017,M06,2017 Jun,4.9
California State,2017,M07,2017 Jul,4.8
California State,2017,M08,2017 Aug,4.8
California State,2017,M09,2017 Sep,4.7
California State,2017,M10,2017 Oct,4.6
California State,2017,M11,2017 Nov,4.5
California State,2017,M12,2017 Dec,4.5
California State,2018,M01,2018 Jan,4.4
California State,2018,M02,2018 Feb,4.3
California State,2018,M03,2018 Mar,4.3
California State,2018,M04,2018 Apr,4.2
California State,2018,M05,2018 May,4.2
California State,2018,M06,2018 Jun,4.2
California State,2018,M07,2018 Jul,4.2
California State,2018,M08,2018 Aug,4.2
California State,2018,M09,2018 Sep,4.2
California State,2018,M10,2018 Oct,4.3
California State,2018,M11,2018 Nov,4.3
California State,2018,M12,2018 Dec,4.3
California State,2019,M01,2019 Jan,4.3
California State,2019,M02,2019 Feb,4.2
California State,2019,M03,2019 Mar,4.2
California State,2019,M04,2019 Apr,4.1
California State,2019,M05,2019 May,4.1
California State,2019,M06,2019 Jun,4.0
California State,2019,M07,2019 Jul,4.0
California State,2019,M08,2019 Aug,4.1
California State,2019,M09,2019 Sep,4.1
California State,2019,M10,2019 Oct,4.1
California State,2019,M11,2019 Nov,4.1
California State,2019,M12,2019 Dec,4.1
California State,2020,M01,2020 Jan,4.1
California State,2020,M02,2020 Feb,4.1
California State,2020,M03,2020 Mar,5.5
California State,2020,M04,2020 Apr,15.9
California State,2020,M05,2020 May,16.1
California State,2020,M06,2020 Jun,14.1
California State,2020,M07,2020 Jul,13.4
California State,2020,M08,2020 Aug,11.9
California State,2020,M09,2020 Sep,10.3
California State,2020,M10,2020 Oct,9.5
California State,2020,M11,2020 Nov,9.2
California State,2020,M12,2020 Dec,9.2
California State,2021,M01,2021 Jan,8.8
California State,2021,M02,2021 Feb,8.6
California State,2021,M03,2021 Mar,8.4
California State,2021,M04,2021 Apr,8.3
California State,2021,M05,2021 May,7.9
California State,2021,M06,2021 Jun,7.9
California State,2021,M07,2021 Jul,7.4
California State,2021,M08,2021 Aug,7.0
California State,2021,M09,2021 Sep,6.4
California State,2021,M10,2021 Oct,6.1
California State,2021,M11,2021 Nov,5.8
California State,2021,M12,2021 Dec,5.8
California State,2022,M01,2022 Jan,5.7
California State,2022,M02,2022 Feb,5.3
California State,2022,M03,2022 Mar,4.8
California State,2022,M04,2022 Apr,4.6
California State,2022,M05,2022 May,4.3
California State,2022,M06,2022 Jun,4.2
California State,2022,M07,2022 Jul,3.9
California State,2022,M08,2022 Aug,4.1
